callOption,strikePrice,putOption
"{u'high': 2675.85, u'ltp': 2650.5, u'lowPriceRange': 1896.4, u'growwContractId': u'NIFTY21NOV15150CE', u'open': 2630.0, u'prevOpenInterest': 33200, u'dayChange': 0.0, u'totalBuyQty': 5350.0, u'volume': 4050, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 2572.1, u'close': 2650.5, u'contractDisplayName': u""NIFTY 25 Nov '21 - 15150 Call"", u'highPriceRange': 3598.8, u'openInterest': 32250, u'totalSellQty': 7150.0, u'lastTradeQty': 50}",1515000,"{u'high': 2.0, u'ltp': 0.85, u'lowPriceRange': 0.05, u'growwContractId': u'NIFTY21NOV15150PE', u'open': 2.0, u'prevOpenInterest': 75500, u'dayChange': 0.0, u'totalBuyQty': 51800.0, u'volume': 43150, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 0.7, u'close': 0.85, u'contractDisplayName': u""NIFTY 25 Nov '21 - 15150 Put"", u'highPriceRange': 7.7, u'openInterest': 98500, u'totalSellQty': 35950.0, u'lastTradeQty': 400}"
"{u'high': 2597.35, u'ltp': 2590.0, u'lowPriceRange': 1839.5, u'growwContractId': u'NIFTY21NOV15200CE', u'open': 2575.0, u'prevOpenInterest': 59450, u'dayChange': 0.0, u'totalBuyQty': 6500.0, u'volume': 1350, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 2511.0, u'close': 2590.0, u'contractDisplayName': u""NIFTY 25 Nov '21 - 15200 Call"", u'highPriceRange': 3545.55, u'openInterest': 58200, u'totalSellQty': 5750.0, u'lastTradeQty': 100}",1520000,"{u'high': 1.5, u'ltp': 0.7, u'lowPriceRange': 0.05, u'growwContractId': u'NIFTY21NOV15200PE', u'open': 0.75, u'prevOpenInterest': 126800, u'dayChange': 0.0, u'totalBuyQty': 65100.0, u'volume': 138850, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 0.6, u'close': 0.7, u'contractDisplayName': u""NIFTY 25 Nov '21 - 15200 Put"", u'highPriceRange': 6.9, u'openInterest': 183100, u'totalSellQty': 56450.0, u'lastTradeQty': 350}"
"{u'high': 0.0, u'ltp': 1753.65, u'lowPriceRange': 1745.25, u'growwContractId': u'NIFTY21NOV15250CE', u'open': 0.0, u'prevOpenInterest': 0, u'dayChange': 0.0, u'totalBuyQty': 7050.0, u'volume': 0, u'dayChangePerc': 0.0, u'low': 0.0, u'close': 1753.65, u'contractDisplayName': u""NIFTY 25 Nov '21 - 15250 Call"", u'highPriceRange': 3480.45, u'openInterest': 0, u'totalSellQty': 6900.0, u'lastTradeTime': 1637209799}",1525000,"{u'high': 1.8, u'ltp': 0.95, u'lowPriceRange': 0.05, u'growwContractId': u'NIFTY21NOV15250PE', u'open': 1.25, u'prevOpenInterest': 1450, u'dayChange': 0.0, u'totalBuyQty': 20400.0, u'volume': 58650, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 0.8, u'close': 0.95, u'contractDisplayName': u""NIFTY 25 Nov '21 - 15250 Put"", u'highPriceRange': 3.05, u'openInterest': 2000, u'totalSellQty': 5250.0, u'lastTradeQty': 50}"
"{u'high': 2599.0, u'ltp': 2470.0, u'lowPriceRange': 1695.25, u'growwContractId': u'NIFTY21NOV15300CE', u'open': 2598.9, u'prevOpenInterest': 100, u'dayChange': 0.0, u'totalBuyQty': 6400.0, u'volume': 1200, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 2398.4, u'close': 2470.0, u'contractDisplayName': u""NIFTY 25 Nov '21 - 15300 Call"", u'highPriceRange': 3430.45, u'openInterest': 550, u'totalSellQty': 6400.0, u'lastTradeQty': 50}",1530000,"{u'high': 2.3, u'ltp': 0.9, u'lowPriceRange': 0.05, u'growwContractId': u'NIFTY21NOV15300PE', u'open': 1.6, u'prevOpenInterest': 26800, u'dayChange': 0.0, u'totalBuyQty': 20550.0, u'volume': 23600, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 0.85, u'close': 0.9, u'contractDisplayName': u""NIFTY 25 Nov '21 - 15300 Put"", u'highPriceRange': 3.05, u'openInterest': 27000, u'totalSellQty': 7100.0, u'lastTradeQty': 100}"
"{u'high': 0.0, u'ltp': 1677.85, u'lowPriceRange': 1645.55, u'growwContractId': u'NIFTY21NOV15350CE', u'open': 0.0, u'prevOpenInterest': 0, u'dayChange': 0.0, u'totalBuyQty': 5950.0, u'volume': 0, u'dayChangePerc': 0.0, u'low': 0.0, u'close': 1677.85, u'contractDisplayName': u""NIFTY 25 Nov '21 - 15350 Call"", u'highPriceRange': 3380.5, u'openInterest': 0, u'totalSellQty': 4500.0, u'lastTradeTime': 1637209799}",1535000,"{u'high': 0.0, u'ltp': 246.2, u'lowPriceRange': 0.0, u'growwContractId': u'NIFTY21NOV15350PE', u'open': 0.0, u'prevOpenInterest': 0, u'dayChange': 0.0, u'totalBuyQty': 9800.0, u'volume': 0, u'dayChangePerc': 0.0, u'low': 0.0, u'close': 246.2, u'contractDisplayName': u""NIFTY 25 Nov '21 - 15350 Put"", u'highPriceRange': 3.05, u'openInterest': 0, u'totalSellQty': 0.0, u'lastTradeTime': 1637209799}"
"{u'high': 2355.1, u'ltp': 2305.45, u'lowPriceRange': 1595.8, u'growwContractId': u'NIFTY21NOV15400CE', u'open': 2355.1, u'prevOpenInterest': 6950, u'dayChange': 0.0, u'totalBuyQty': 6600.0, u'volume': 100, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 2305.45, u'close': 2305.45, u'contractDisplayName': u""NIFTY 25 Nov '21 - 15400 Call"", u'highPriceRange': 3330.55, u'openInterest': 6850, u'totalSellQty': 5600.0, u'lastTradeQty': 50}",1540000,"{u'high': 3.0, u'ltp': 1.15, u'lowPriceRange': 0.05, u'growwContractId': u'NIFTY21NOV15400PE', u'open': 2.0, u'prevOpenInterest': 16300, u'dayChange': 0.0, u'totalBuyQty': 17950.0, u'volume': 6000, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 1.05, u'close': 1.15, u'contractDisplayName': u""NIFTY 25 Nov '21 - 15400 Put"", u'highPriceRange': 8.1, u'openInterest': 18300, u'totalSellQty': 23250.0, u'lastTradeQty': 100}"
"{u'high': 0.0, u'ltp': 1604.3, u'lowPriceRange': 1546.1, u'growwContractId': u'NIFTY21NOV15450CE', u'open': 0.0, u'prevOpenInterest': 0, u'dayChange': 0.0, u'totalBuyQty': 5950.0, u'volume': 0, u'dayChangePerc': 0.0, u'low': 0.0, u'close': 1604.3, u'contractDisplayName': u""NIFTY 25 Nov '21 - 15450 Call"", u'highPriceRange': 3280.6, u'openInterest': 0, u'totalSellQty': 5900.0, u'lastTradeTime': 1637209799}",1545000,"{u'high': 2.7, u'ltp': 1.75, u'lowPriceRange': 0.05, u'growwContractId': u'NIFTY21NOV15450PE', u'open': 0.75, u'prevOpenInterest': 100, u'dayChange': 0.0, u'totalBuyQty': 7800.0, u'volume': 3000, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 0.75, u'close': 1.75, u'contractDisplayName': u""NIFTY 25 Nov '21 - 15450 Put"", u'highPriceRange': 3.45, u'openInterest': 100, u'totalSellQty': 7200.0, u'lastTradeQty': 1500}"
"{u'high': 2427.6, u'ltp': 2306.7, u'lowPriceRange': 1522.35, u'growwContractId': u'NIFTY21NOV15500CE', u'open': 2427.6, u'prevOpenInterest': 448700, u'dayChange': 0.0, u'totalBuyQty': 10350.0, u'volume': 73600, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 2199.25, u'close': 2306.7, u'contractDisplayName': u""NIFTY 25 Nov '21 - 15500 Call"", u'highPriceRange': 3241.65, u'openInterest': 382300, u'totalSellQty': 14300.0, u'lastTradeQty': 50}",1550000,"{u'high': 2.05, u'ltp': 1.05, u'lowPriceRange': 0.05, u'growwContractId': u'NIFTY21NOV15500PE', u'open': 1.8, u'prevOpenInterest': 699050, u'dayChange': 0.0, u'totalBuyQty': 45450.0, u'volume': 346050, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 0.9, u'close': 1.05, u'contractDisplayName': u""NIFTY 25 Nov '21 - 15500 Put"", u'highPriceRange': 9.85, u'openInterest': 758500, u'totalSellQty': 43250.0, u'lastTradeQty': 350}"
"{u'high': 0.0, u'ltp': 2580.0, u'lowPriceRange': 1446.45, u'growwContractId': u'NIFTY21NOV15550CE', u'open': 0.0, u'prevOpenInterest': 100, u'dayChange': 0.0, u'totalBuyQty': 6950.0, u'volume': 0, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 0.0, u'close': 2580.0, u'contractDisplayName': u""NIFTY 25 Nov '21 - 15550 Call"", u'highPriceRange': 3180.65, u'openInterest': 100, u'totalSellQty': 6050.0, u'lastTradeQty': 50}",1555000,"{u'high': 2.5, u'ltp': 1.85, u'lowPriceRange': 0.05, u'growwContractId': u'NIFTY21NOV15550PE', u'open': 2.5, u'prevOpenInterest': 650, u'dayChange': 0.0, u'totalBuyQty': 900.0, u'volume': 300, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 1.85, u'close': 1.85, u'contractDisplayName': u""NIFTY 25 Nov '21 - 15550 Put"", u'highPriceRange': 15.75, u'openInterest': 600, u'totalSellQty': 7300.0, u'lastTradeQty': 250}"
"{u'high': 0.0, u'ltp': 2446.55, u'lowPriceRange': 1396.8, u'growwContractId': u'NIFTY21NOV15600CE', u'open': 0.0, u'prevOpenInterest': 500, u'dayChange': 0.0, u'totalBuyQty': 7050.0, u'volume': 0, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 0.0, u'close': 2446.55, u'contractDisplayName': u""NIFTY 25 Nov '21 - 15600 Call"", u'highPriceRange': 3130.7, u'openInterest': 500, u'totalSellQty': 5700.0, u'lastTradeQty': 50}",1560000,"{u'high': 2.95, u'ltp': 1.15, u'lowPriceRange': 0.05, u'growwContractId': u'NIFTY21NOV15600PE', u'open': 2.0, u'prevOpenInterest': 3250, u'dayChange': 0.0, u'totalBuyQty': 15100.0, u'volume': 5300, u'lastTradeTime': 1637209799, u'dayChangePerc': 0.0, u'low': 0.65, u'close': 1.15, u'contractDisplayName': u""NIFTY 25 Nov '21 - 15600 Put"", u'highPriceRange': 9.0, u'openInterest': 3700, u'totalSellQty': 4250.0, u'lastTradeQty': 50}"
